山不在高，有仙则名。水不在深，有龙则灵。	陋室铭
似此星辰非昨夜，为谁风露立中宵。	绮怀
直道相思了无益，未妨惆怅是清狂。	无题·重帏深下莫愁堂
人到情多情转薄，而今真个悔多情。	山花子·风絮飘残已化萍
此情可待成追忆？只是当时已惘然。	锦瑟
相思一夜情多少，地角天涯未是长。	燕子楼诗三首
问世间，情为何物，直教生死相许？	摸鱼儿·雁丘词 / 迈陂塘
身无彩凤双飞翼，心有灵犀一点通。	无题·昨夜星辰昨夜风
兽炉沉水烟，翠沼残花片。一行写入相思传。	塞鸿秋·春情
寂寂花时闭院门，美人相并立琼轩。	宫词 / 宫中词
平生不会相思，才会相思，便害相思。	折桂令·春情
一寸相思千万绪。人间没个安排处。	蝶恋花·春暮
十年生死两茫茫，不思量，自难忘。	江城子·乙卯正月二十日夜记梦
天长地久有时尽，此恨绵绵无绝期。	长恨歌
春蚕到死丝方尽，蜡炬成灰泪始干。	无题·相见时难别亦难
窈窕淑女，君子好逑。	关雎
人生自是有情痴，此恨不关风与月。	玉楼春·尊前拟把归期说
落花人独立，微雨燕双飞。	临江仙·梦后楼台高锁
千金纵买相如赋，脉脉此情谁诉。	摸鱼儿·更能消几番风雨
结发为夫妻，恩爱两不疑。	留别妻
枕前泪共阶前雨，隔个窗儿滴到明。	鹧鸪天·别情
天长路远魂飞苦，梦魂不到关山难。	长相思·其一
诚知此恨人人有，贫贱夫妻百事哀。	遣悲怀三首·其二
换我心，为你心，始知相忆深。	诉衷情·永夜抛人何处去
相恨不如潮有信，相思始觉海非深。	浪淘沙·借问江潮与海水
玲珑骰子安红豆，入骨相思知不知。	南歌子词二首 / 新添声杨柳枝词
天涯地角有穷时，只有相思无尽处。	玉楼春·春恨
泪眼问花花不语，乱红飞过秋千去。	蝶恋花·庭院深深深几许
多情只有春庭月，犹为离人照落花。	寄人
若有知音见采，不辞遍唱阳春。	山亭柳·赠歌者
酒入愁肠，化作相思泪。	苏幕遮·怀旧
生当复来归，死当长相思。	留别妻
夜月一帘幽梦，春风十里柔情。	八六子·倚危亭
多情自古伤离别，更那堪冷落清秋节！	雨霖铃·寒蝉凄切
无情不似多情苦。一寸还成千万缕。	玉楼春·春恨
惟将终夜常开眼，报答平生未展眉。	遣悲怀三首·其三
别来半岁音书绝，一寸离肠千万结。	应天长·别来半岁音书绝
离愁渐远渐无穷，迢迢不断如春水。	踏莎行·候馆梅残
若教眼底无离恨，不信人间有白头。	鹧鸪天·代人赋
占得杏梁安稳处，体轻唯有主人怜，堪羡好因缘。	忆江南·衔泥燕
君在阴兮影不见，君依光兮妾所愿。	车遥遥篇
忆与君别年，种桃齐蛾眉。	独不见
宝奁明月不欺人，明日归来君试看。	玉楼春·春思
昭君拂玉鞍，上马啼红颊。	王昭君二首 / 王昭君
漫向寒炉醉玉瓶，唤君同赏小窗明。	浣溪沙·和无咎韵
冰合井泉月入闺，金缸青凝照悲啼。	夜坐吟
枕障薰炉隔绣帷，二年终日苦相思，杏花明月始应知。	浣溪沙·枕障薰炉隔绣帷
君安游兮西入秦，愿为影兮随君身。	车遥遥篇
远与君别者，乃至雁门关。	古离别
车遥遥兮马洋洋，追思君兮不可忘。	车遥遥篇
贞女贵徇夫，舍生亦如此。	列女操 / 烈女操
垓下美人泣楚歌，定陶美人泣楚舞，真龙亦鼠虎亦鼠。	书项王庙壁
曾把芳心深相许。故梦劳诗苦。	留春令·咏梅花
春来秋去相思在，秋去春来信息稀。	闺怨
君歌杨叛儿，妾劝新丰酒。	杨叛儿
离恨又迎春，相思难重陈。	菩萨蛮·越梅半拆轻寒里
春闺月，红袖不须啼。	江月晃重山·初到嵩山时作
愿君采葑菲，无以下体妨。	秦女卷衣
明月照相思，也得姮娥念我痴。	南乡子·戊申秋隽喜晤故人
西园何限相思树，辛苦梅花候海棠。	鹧鸪天·候馆灯昏雨送凉
暗相思，无处说，惆怅夜来烟月。	应天长·别来半岁音书绝
劝君频入醉乡来，此是无愁无恨处。	玉楼春·雕鞍好为莺花住
屏却相思，近来知道都无益。	点绛唇·屏却相思
宜有词仙，拥素云黄鹤，与君游戏。	翠楼吟·淳熙丙午冬
薄幸郎君何日到，想自当初，莫要相逢好。	蝶恋花·一别家山音信杳
归来视幼女，零泪缘缨流。	送杨氏女
关山别荡子，风月守空闺。	昔昔盐
长江巨浪征人泪，一夜西风共白头。	江上阻风
云淡风高叶乱飞，小庭寒雨绿苔微，深闺人静掩屏帷。	浣溪沙·云淡风高叶乱飞
绣袂捧琴兮，登君子堂。	善哉行·伤古曲无知音
应难奈，故人天际，望彻淮山，相思无雁足。	八归·秋江带雨
风摧寒棕响，月入霜闺悲。	独不见
名播兰簪妃后里，晕生莲脸君王侧。	满江红·题南京夷山驿
君王选玉色，侍寝金屏中。	怨歌行
念佳人、音尘别后，对此应解相思。	绿头鸭·咏月
美人结长想，对此心凄然。	折杨柳
那里是清江江上村，香闺里冷落谁瞅问？好一个憔悴的凭栏人。	大德歌·冬
意长翻恨游丝短。尽日相思罗带缓。	玉楼春·春思
细腰争舞君沉醉，白日秦兵天下来。	楚宫怨二首·其一
可能无意传双蝶，尽付芳心与蜜房。	落花
君在天一涯，妾身长别离。	古离别
美人金梯出，素手自提筐。	春词二首
自与东君作别，刬地无聊。	风流子·秋郊即事
紫燕一双娇语碎，翠屏十二晚峰齐，梦魂消散醉空闺。	浣溪沙·花榭香红烟景迷
光景不胜闺阁恨，行行坐坐黛眉攒。	八拍蛮·云锁嫩黄烟柳细
尽叫得鹃声碎，却教人空断肠。	湘妃怨·夜来雨横与风狂
青绫被，莫忆金闺故步。	摸鱼儿·东皋寓居
君行逾十年，孤妾常独栖。	七哀诗
荆州麦熟茧成蛾，缲丝忆君头绪多。	荆州歌
相思不作勤书礼，别后吾言在订顽。	诸门人送至龙里道中二首
怅恨不逢如意酒。寻思难值有情人。	浣溪沙·闲弄筝弦懒系裙
天与短因缘，聚散常容易。	生查子·狂花顷刻香
写不了相思，又蘸凉波飞去。	长亭怨慢·雁
妇人依倚子与夫，同居贫贱心亦舒。	征妇怨
念碎劈芳心，萦思千缕，赠将幽素，偷翦重云。	风流子·黄钟商芍药
蛮姜豆蔻相思味。算却在、春风舌底。	杏花天·咏汤
斜月照帘帷，忆君和梦稀。	菩萨蛮·梨花满院飘香雪
天街曾醉美人畔，凉枝移插乌巾。	夜飞鹊·蔡司户席上南花
织锦相思楼影下，钿钗暗约小帘间。	新雁过妆楼·中秋后一夕李方庵月庭延客命小妓过新水令坐间赋词
怀春情不断，犹带相思旧子。	丁香结·夷则商秋日海棠
屏山遮断相思路，子规啼到无声处。	青玉案·丝丝香篆浓于雾
问相思、他日镜中看，萧萧发。	满江红·送廖叔仁赴阙
空劳纤手，解佩赠情人。	临江仙·柳带摇风汉水滨
春思乱，芳心碎。	千秋岁·半身屏外
辜负我，悔怜君，告天天不闻。	更漏子·春夜阑
绮席凝尘，香闺掩雾。	踏莎行·碧海无波
问别来、解相思否。	惜秋华·七夕前一日送人归盐官
顾谓戚夫人，彼翁羽翼成。	山人劝酒
美人慵翦上元灯，弹泪倚瑶瑟。	好事近·春雨细如尘
相思处、青年如梦，乘鸾仙阙。	满江红·和王夫人满江红韵以庶几後山妾薄命之意
最关情，折尽梅花，难寄相思。	高阳台·送陈君衡被召
思归未可得，书此谢情人。	送郄昂谪巴中
白头空负雪边春，着意问春春不语。	玉楼春·东山探梅
恐断红、尚有相思字，何由见得。	六丑·落花
情如之何，暮涂为客，忍堪送君。	沁园春·送翁宾旸游鄂渚
绣帐已阑离别梦，玉炉空袅寂寥香。	浣溪沙·春到青门柳色黄
花满河阳，为君羞褪晨妆茜。	烛影摇红·赋德清县圃古红梅
君知否，是山西将种，曾系诗盟。	沁园春·张路分秋阅
何事东君，解将芳思，巧缀一斛春冰。	一萼红·盆梅
但怪得、当年梦缘能短。	三姝媚·过都城旧居有感
何事非相思，江上葳蕤竹。	登二妃庙
送君如昨日，檐前露已团。	古离别
梅花雪，梨花月，总相思。	相见欢·年年负却花期
我歌君起舞，潦倒略相同。	除夜对酒赠少章
扪萝正意我，折桂方思君。	送沈记室夜别
靡芜盈手泣斜晖，闻道邻家夫婿归。	闺怨
无情明月，有情归梦，同到幽闺。	眼儿媚·秋思
算遗踪、犹有枕囊留，相思物。	满江红·刘朔斋赋菊和韵
待浮花、浪蕊都尽，伴君幽独。	贺新郎·夏景
教人无处寄相思，落花芳草过前期，没人知。	虞美人·好风微揭帘旌起
旧相思、偏供闲昼。	夜游宫·春语莺迷翠柳
掩妾泪，听君歌。	夜坐吟
尘缘一点，回首西风又陈迹。	六么令·夷则宫七夕
还始觉、留情缘眼，宽带因春。	渡江云三犯·西湖清明
雁字无多，写得相思几许。	扫花游·九日怀归
佳人独立相思苦。薄袖欺寒脩竹暮。	玉楼春·东山探梅
料黛眉重锁隋堤，芳心还动梁苑。	宴清都·初春
还作一段相思，冷波叶舞愁红，送人双桨。	解蹀躞·醉云又兼醒雨
春朝秋夜思君甚，愁见绣屏孤枕。	满宫花·雪霏霏
寄相思，寒雨灯窗，芙蓉旧院。	宴清都·秋感
对菱花、与说相思，看谁瘦损。	瑞鹤仙·梅
盈盈一点芳心，占多少春光，问卿知否？红妆莫斗。	玉烛新·白海棠
妖娆艳态，妒风笑月，长殢东君。	庆清朝·禁幄低张
梦断刀头，书开虿尾，别有相思随定。	齐天乐·中秋宿真定驿
槐阴别院宜清昼，入座春风秀。美人图子阿谁留。	虞美人·槐阴别院宜清昼
一种相思，两处闲愁。	一剪梅·红藕香残玉簟秋
四海皆兄弟，谁为行路人。	旧题苏武诗 / 别诗四首·其一
海内存知己，天涯若比邻。	送杜少府之任蜀州 / 送杜少府之任蜀川
结交在相知，骨肉何必亲。	箜篌谣
君不见管鲍贫时交，此道今人弃如土。	贫交行
夜阑更秉烛，相对如梦寐。	羌村
世人结交须黄金，黄金不多交不深。	题长安壁主人
昨日屋头堪炙手，今朝门外好张罗。	放言五首·其四
已过才追问，相看是故人。	遇旧友
江南无所有，聊赠一枝春。	赠范晔诗
古路无行客，寒山独见君。	碧涧别墅喜皇甫侍御相访
同是天涯沦落人，相逢何必曾相识！	琵琶行 / 琵琶引
劝君更尽一杯酒，西出阳关无故人。	渭城曲 / 送元二使安西
洛阳亲友如相问，一片冰心在玉壶。	芙蓉楼送辛渐
莫愁前路无知己，天下谁人不识君。	别董大二首
孤帆远影碧空尽，唯见长江天际流。	黄鹤楼送孟浩然之广陵
故人西辞黄鹤楼，烟花三月下扬州。	黄鹤楼送孟浩然之广陵
开轩面场圃，把酒话桑麻。	过故人庄
浮云游子意，落日故人情。	送友人
故人具鸡黍，邀我至田家。	过故人庄
故人入我梦，明我长相忆。	梦李白二首·其一
西窗下，风摇翠竹，疑是故人来。	满庭芳·碧水惊秋
偶然值林叟，谈笑无还期。	终南别业 / 初至山中 / 入山寄城中故人
浮云一别后，流水十年间。	淮上喜会梁川故人 / 淮上喜会梁州故人
不才明主弃，多病故人疏。	岁暮归南山 / 归故园作 / 归终南山
唯愿当歌对酒时，月光长照金樽里。	把酒问月·故人贾淳令予问之
相逢意气为君饮，系马高楼垂柳边。	少年行四首
欢笑情如旧，萧疏鬓已斑。	淮上喜会梁川故人 / 淮上喜会梁州故人
何因不归去？淮上有秋山。	淮上喜会梁川故人 / 淮上喜会梁州故人
感此怀故人，中宵劳梦想。	夏日南亭怀辛大
十年离乱后，长大一相逢。	喜见外弟又言别
故人江海别，几度隔山川。	云阳馆与韩绅宿别
洞庭有归客，潇湘逢故人。	江南曲
今夜故人来不来，教人立尽梧桐影。	梧桐影·落日斜
羁旅长堪醉，相留畏晓钟。	客夜与故人偶集 / 江乡故人偶集客舍
丈夫贫贱应未足，今日相逢无酒钱。	别董大二首
一生大笑能几回，斗酒相逢须醉倒。	凉州馆中与诸判官夜集
欲寻芳草去，惜与故人违。	留别王侍御维 / 留别王维
故人早晚上高台。赠我江南春色、一枝梅。	虞美人·寄公度
相逢秋月满，更值夜萤飞。	秋夜喜遇王处士
欲祭疑君在，天涯哭此时。	没蕃故人
但见宵从海上来，宁知晓向云间没。	把酒问月·故人贾淳令予问之
芳草已云暮，故人殊未来。	章台夜思
蓟庭萧瑟故人稀，何处登高且送归。	九日送别
故人不可见，新知万里外。	端午即事
为惜故人去，复怜嘶马愁。	送魏八
玉楼深锁薄情种。清夜悠悠谁共。	桃源忆故人·玉楼深锁薄情种
不知来岁牡丹时，再相逢何处。	贺圣朝·留别
故人何不返，春华复应晚。	江南曲
袛应瘴乡老，难答故人情。	十二月十九日夜中发鄂渚晓泊汉阳亲旧携酒追送聊为短句
忽忆故人天际去，计程今日到梁州。	同李十一醉忆元九
还作江南会，翻疑梦里逢。	客夜与故人偶集 / 江乡故人偶集客舍
忽忆故人今总老。贪梦好。茫然忘了邯郸道。	渔家傲·平岸小桥千嶂抱
故人应念，杜鹃枝上残月。	酹江月·和友驿中言别
谁知江上酒，还与故人倾。	临江仙·送光州曾使君
长安故人问我，道寻常、泥酒只依然。	木兰花慢·滁州送范倅
南去北来徒自老，故人稀。	钓船归·绿净春深好染衣
故人远，问谁摇玉佩，檐底铃声。	声声慢·秋声
家童扫萝径，昨与故人期。	谷口书斋寄杨补阙
故人相望若为情。别愁深夜雨，孤影小窗灯。	临江仙·四海十年兵不解
满目飞花万点，回首故人千里，把酒沃愁肠。	水调歌头·江上春山远
蕃汉断消息，死生长别离。	没蕃故人
河西幕中多故人，故人别来三五春。	凉州馆中与诸判官夜集
相逢成夜宿，陇月向人圆。	宿赞公房
前年伐月支，城上没全师。	没蕃故人
巴子城头青草暮。巴山重叠相逢处。	渔家傲·和程公辟赠
伤心故人去后，冷落新诗。	汉宫春·梅
相逢清露下，流影湿衣襟。	夜过借园见主人坐月下吹笛
喜得故人同待诏，拟沽春酒醉京华。	清明呈馆中诸公
不成便没相逢日，重整钗鸾筝雁。	陌上花·有怀
云深山坞，烟冷江皋，人生未易相逢。	声声慢·友人以梅兰瑞香水仙供客曰四香分韵得风字
寂寥西窗久坐，故人慳会遇，同翦灯语。	齐天乐·与冯深居登禹陵
一一书来报故人，我欲因之壮心魄。	赤壁歌送别
料因循误了，残毡拥雪，故人心眼。	解连环·孤雁
故人宿茅宇，夕鸟栖杨园。	之广陵宿常二南郭幽居
前经洛阳陌，宛洛故人稀。	送魏郡李太守赴任
故人离别尽，淇上转骖騑。	送魏郡李太守赴任
当年紫禁烟花，相逢恨不知音早。	水龙吟·送焦和之赴西夏行省
客路相逢难，为乐常不足。	送顿起
湖水无端浸白云，故人书断孤鸿没。	秋怀二首
寒笛对京口，故人在襄阳。	暮秋扬子江寄孟浩然
尊前故人如在，想念我、最关情。	绮寮怨·上马人扶残醉
相逢唤醒京华梦，吴尘暗斑吟发。	齐天乐·送童瓮天兵后归杭
过眼年华，动人幽意，相逢几番春换。	法曲献仙音·聚景亭梅次草窗韵
就解佩旗亭，故人相遇。	扫花游·西湖寒食
故人书报，莫因循、忘却莼鲈。	汉宫春·会稽秋风亭观雨
还怕掩、深院梨花，又作故人清泪。	无闷·催雪
恰如灯下，故人万里，归来对影。	品令·茶词
何处相逢，登宝钗楼，访铜雀台。	沁园春·梦孚若
松江上，念故人老矣，甘卧闲云。	沁园春·送翁宾旸游鄂渚
故人何在，水村山郭。	忆秦娥·季温老友归樵阳人来闲书因以为寄
故人在其下，尘土相豗蹴。	送顿起
故人南燕吏，籍籍名更香。	至大梁却寄匡城主人
数人世相逢，百年欢笑，能得几回又。	摸鱼儿·记年时人人何处
长安故人别後，料征鸿声里，画阑凭偏。	齐天乐·夜来疏雨鸣金井
念故人，千里至此共明月。	踏莎行·寒草烟光阔
故人溪上，挂愁无奈，烟梢月树。	留春令·咏梅花
邂逅淇南，岁寒独在，故人襟抱。	水龙吟·送焦和之赴西夏行省
算阴晴，浑似几番，渭城故人离会。	永遇乐·乙巳中秋风雨
但东望、故人翘首。	贺新郎·寄丰真州
故人何在，烟水茫茫。	玉蝴蝶·望处雨收云断
况故人新拥，汉坛旌节。	满江红·汉水东流
故人一去无期约。尺书忽寄西飞鹤。	忆秦娥·季温老友归樵阳人来闲书因以为寄
竹边荷外再相逢，又还是、浮云飞去。	鹊桥仙·富沙七夕为友人赋
悠悠洛阳道，此会在何年。	春夜别友人二首·其一
朝闻游子唱离歌，昨夜微霜初渡河。	送魏万之京
山回路转不见君，雪上空留马行处。	白雪歌送武判官归京
天明登前途，独与老翁别。	石壕吏
日斜江上孤帆影，草绿湖南万里情。	别严士元
梧桐叶上三更雨，叶叶声声是别离。	鹧鸪天·一点残红欲尽时
蜡烛有心还惜别，替人垂泪到天明。	赠别
一看肠一断，好去莫回头。	南浦别
又送王孙去，萋萋满别情。	草 / 赋得古原草送别
春草明年绿，王孙归不归？	送别 / 山中送别 / 送友
接天莲叶无穷碧，映日荷花别样红。	晓出净慈寺送林子方
日暮征帆何处泊，天涯一望断人肠。	送杜十四之江南 / 送杜晃进士之东吴
唯有相思似春色，江南江北送君归。	送沈子归江东 / 送沈子福之江东
丈夫非无泪，不洒离别间。	别离
昔时人已没，今日水犹寒。	于易水送人 / 于易水送别
日暮酒醒人已远，满天风雨下西楼。	谢亭送别
功名万里外，心事一杯中。	送李侍御赴安西
相送情无限，沾襟比散丝。	赋得暮雨送李胄 / 赋得暮雨送李曹
柳条折尽花飞尽，借问行人归不归？	送别诗
相见时难别亦难，东风无力百花残。	无题·相见时难别亦难
感时花溅泪，恨别鸟惊心。	春望
仰天大笑出门去，我辈岂是蓬蒿人。	南陵别儿童入京
独自莫凭栏，无限江山，别时容易见时难。	浪淘沙令·帘外雨潺潺
挥手自兹去，萧萧班马鸣。	送友人
最是仓皇辞庙日，教坊犹奏别离歌，垂泪对宫娥。	破阵子·四十年来家国
衰兰送客咸阳道。天若有情天亦老。	行路难·缚虎手
去年花里逢君别，今日花开已一年。	寄李儋元锡
不用诉离觞，痛饮从来别有肠。	南乡子·和杨元素时移守密州
君到姑苏见，人家尽枕河。	送人游吴
一别如斯，落尽梨花月又西。	采桑子·当时错
细看来，不是杨花，点点是离人泪。	水龙吟·次韵章质夫杨花词
隔座送钩春酒暖，分曹射覆蜡灯红。	无题·昨夜星辰昨夜风
春未绿，鬓先丝。人间别久不成悲。	鹧鸪天·元夕有所梦
醉别西楼醒不记。春梦秋云，聚散真容易。	蝶恋花·醉别西楼醒不记
离别家乡岁月多，近来人事半消磨。	回乡偶书二首
乡梦不曾休，惹甚闲愁？忠州过了又涪州。	浪淘沙·曹溪驿折桃花一枝数日零落裹花片投之涪江歌此送之
此去与师谁共到，一船明月一帆风。	送日本国僧敬龙归
惨惨柴门风雪夜，此时有子不如无。	别老母
当路谁相假，知音世所稀。	留别王侍御维 / 留别王维
田园寥落干戈后，骨肉流离道路中。	望月有感
扶桑已在渺茫中，家在扶桑东更东。	送日本国僧敬龙归
寂寞离亭掩，江山此夜寒。	江亭夜月送别二首
山阴道士如相见，应写黄庭换白鹅。	送贺宾客归越
醉别江楼橘柚香，江风引雨入舟凉。	送魏二
猿啼客散暮江头，人自伤心水自流。	重送裴郎中贬吉州
望处雨收云断，凭阑悄悄，目送秋光。	玉蝴蝶·望处雨收云断
闻道故林相识多，罢官昨日今如何。	送陈章甫
忆君遥在潇湘月，愁听清猿梦里长。	送魏二
春风知别苦，不遣柳条青。	劳劳亭
梧桐树，三更雨，不道离情正苦。	更漏子·玉炉香
明月不谙离恨苦。斜光到晓穿朱户。	蝶恋花·槛菊愁烟兰泣露
孤云将野鹤，岂向人间住。	送方外上人 / 送上人
狂风吹我心，西挂咸阳树。	金乡送韦八之西京
可怜今夕月，向何处、去悠悠。	木兰花慢·中秋饮酒
寂寂竟何待，朝朝空自归。	留别王侍御维 / 留别王维
一向年光有限身。等闲离别易销魂。酒筵歌席莫辞频。	浣溪沙·一向年光有限身
入春才七日，离家已二年。	人日思归
一别都门三改火，天涯踏尽红尘。	临江仙·送钱穆父
谁言千里自今夕，离梦杳如关塞长。	送友人
饮散离亭西去，浮生长恨飘蓬。	临江仙·饮散离亭西去
不管烟波与风雨，载将离恨过江南。	柳枝词
锁离愁，连绵无际，来时陌上初熏。	凤箫吟·锁离愁
死别已吞声，生别常恻恻。	梦李白二首·其一
丹阳郭里送行舟，一别心知两地秋。	丹阳送韦参军
天下伤心处，劳劳送客亭。	劳劳亭
金陵子弟来相送，欲行不行各尽觞。	金陵酒肆留别
不见南师久，谩说北群空。	水调歌头·送章德茂大卿使虏
行尽江南，不与离人遇。	蝶恋花·梦入江南烟水路
都缘自有离恨，故画作远山长。	诉衷情·眉意
九月九日望乡台，他席他乡送客杯。	蜀中九日 / 九日登高
楼头残梦五更钟，花底离情三月雨。	玉楼春·春恨
别离在今晨，见尔当何秋。	送杨氏女
沅水通波接武冈，送君不觉有离伤。	送柴侍御
当时轻别意中人，山长水远知何处。	踏莎行·碧海无波
自别后遥山隐隐，更那堪远水粼粼。	十二月过尧民歌·别情
薄衾小枕凉天气，乍觉别离滋味。	忆帝京·薄衾小枕凉天气
只应守寂寞，还掩故园扉。	留别王侍御维 / 留别王维
此身如传舍，何处是吾乡。	临江仙·送王缄
支离东北风尘际，漂泊西南天地间。	咏怀古迹五首·其一
漠漠帆来重，冥冥鸟去迟。	赋得暮雨送李胄 / 赋得暮雨送李曹
怕黄昏忽地又黄昏，不销魂怎地不销魂。	十二月过尧民歌·别情
飞蓬各自远，且尽手中杯。	鲁郡东石门送杜二甫
升沉应已定，不必问君平。	送友人入蜀
分手脱相赠，平生一片心。	送朱大入秦
淡云孤雁远，寒日暮天红。	临江仙·饮散离亭西去
白白与红红，别是东风情味。	如梦令·道是梨花不是
鸿雁不堪愁里听，云山况是客中过。	送魏万之京
离歌且莫翻新阕。一曲能教肠寸结。	玉楼春·尊前拟把归期说
日暖泥融雪半消，行人芳草马声骄。	宣州送裴坦判官往舒州时牧欲赴官归京
浮天沧海远，去世法舟轻。	送僧归日本
合欢桃核终堪恨，里许元来别有人。	南歌子词二首 / 新添声杨柳枝词
离心何以赠，自有玉壶冰。	送别
晴烟漠漠柳毵毵，不那离情酒半酣。	古离别
搴帷拜母河梁去，白发愁看泪眼枯。	别老母
何当重相见，尊酒慰离颜。	送人东游
尚想旧情怜婢仆，也曾因梦送钱财。	遣悲怀三首·其二
老来情味减，对别酒、怯流年。	木兰花慢·滁州送范倅
雁来音信无凭，路遥归梦难成。	清平乐·别来春半
劝我早还家，绿窗人似花。	菩萨蛮·红楼别夜堪惆怅
悲莫悲生离别，乐莫乐新相识，儿女古今情。	水调歌头·壬子三山被召陈端仁给事饮饯席上作
望君烟水阔，挥手泪沾巾。	饯别王十一南游
花光浓烂柳轻明，酌酒花前送我行。	别滁
惆怅孤帆连夜发，送行淡月微云。	临江仙·送钱穆父
六翮飘飖私自怜，一离京洛十馀年。	别董大二首
去年相送，馀杭门外，飞雪似杨花。	少年游·润州作
一曲危弦断客肠。津桥捩柂转牙樯。	鹧鸪天·惜别
独自凄凉还自遣，自制离愁。	浪淘沙·写梦
彩舟载得离愁动。无端更借樵风送。	菩萨蛮·彩舟载得离愁动
阳关万里道，不见一人归。	重别周尚书
远树带行客，孤城当落晖。	送綦毋潜落第还乡 / 送别
我亦且如常日醉，莫教弦管作离声。	别滁
午醉醒来愁未醒。送春春去几时回。	天仙子·水调数声持酒听
远送从此别，青山空复情。	奉济驿重送严公四韵
洛阳城东西，长作经时别。	别诗二首·其一
江春不肯留归客，草色青青送马蹄。	送李判官之润州行营
新啼痕压旧啼痕，断肠人忆断肠人。	十二月过尧民歌·别情
所志在功名，离别何足叹。	别离
青枫飒飒雨凄凄，秋色遥看入楚迷。	送明卿之江西
离堂思琴瑟，别路绕山川。	春夜别友人二首·其一
谢亭离别处，风景每生愁。	谢公亭·盖谢脁范云之所游
浩气清英，仙材卓荦，下土难分别。	无俗念·灵虚宫梨花词
青青一树伤心色，曾入几人离恨中。	青门柳
手种堂前垂柳，别来几度春风。	朝中措·送刘仲原甫出守维扬
参差连曲陌，迢递送斜晖。	落花
年年送客横塘路，细雨垂杨系画船。	横塘
分明小像沉香缕，一片伤心欲画难。	于中好·握手西风泪不干
握手西风泪不干，年来多在别离间。	于中好·握手西风泪不干
近来攀折苦，应为别离多。	送别
江南春尽离肠断，苹满汀洲人未归。	江南春·波渺渺
醉别复几日，登临遍池台。	鲁郡东石门送杜二甫
客自长安来，还归长安去。	金乡送韦八之西京
送君九月交河北，雪里题诗泪满衣。	送崔子还京
此路无知己，明珠莫暗投。	送魏八
江上几人在，天涯孤棹还。	送人东游
十五彩衣年，承欢慈母前。	送张参明经举兼向泾州觐省
万里辞家事鼓鼙，金陵驿路楚云西。	送李判官之润州行营
飘零疏酒盏，离别宽衣带。	千秋岁·水边沙外
别离还有经年客，怅望不如河鼓星。	七夕
不似秋光，只与离人照断肠。	减字木兰花·春月
风雨送人来，风雨留人住。	卜算子·风雨送人来
河桥送人处，凉夜何其。	夜飞鹊·河桥送人处
离别一何久，七度过中秋。	水调歌头·徐州中秋
今朝此为别，何处还相遇。	初发扬子寄元大校书
江送巴南水，山横塞北云。	江亭夜月送别二首
何期小会幽欢，变作离情别绪。	昼夜乐·洞房记得初相遇
别来几春未还家，玉窗五见樱桃花。	久别离
长记别伊时，和泪出门相送。	如梦令·曾宴桃源深洞
秋风别苏武，寒水送荆轲。	拟咏怀二十七首·其二十六
谁向孤舟怜逐客？白云相送大江西。	送明卿之江西
为近都门多送别，长条折尽减春风。	青门柳
棠梨花映白杨树，尽是死生别离处。	寒食野望吟
月有盈亏花有开谢，想人生最苦离别。	普天乐·咏世
有情不管别离久。情在相逢终有。	秋蕊香·池苑清阴欲就
离恨做成春夜雨。添得春江，划地东流去。	蝶恋花·别范南伯
别来不寄一行书。寻常相见了，犹道不如初。	临江仙·忆昔西池池上饮
今春香肌瘦几分？缕带宽三寸。	十二月过尧民歌·别情
望望不见君，连山起烟雾。	金乡送韦八之西京
别愁深夜雨，孤影小窗灯。	临江仙·四海十年兵不解
何处可为别，长安青绮门。	送裴十八图南归嵩山二首
为谁醉倒为谁醒，到今犹恨轻离别。	踏莎行·雪似梅花
丝槐烟柳长亭路，恨取次、分离去。	青玉案·丝槐烟柳长亭路
一树斜阳蝉更咽，曾绾灞陵离别。	淡黄柳·咏柳
长条别有风流处，密映钱塘苏小家。	柳
乱离何处见，消息苦难真。	遇旧友
离愁万种，醉乡一夜头白。	念奴娇·天南地北
凤箫声断月明中，举手谢、时人欲去。	鹊桥仙·七夕送陈令举
君似孤云何处归，我似离群雁。	卜算子·席上送王彦猷
明朝又是孤舟别，愁见河桥酒幔青。	夏夜宿表兄话旧
那年离别日，只道住桐庐。	啰唝曲·那年离别日
是别有人间，那边才见，光影东头。	木兰花慢·中秋饮酒
离情被横笛，吹过乱山东。	江上
江上旗亭，送君还是逢君处。	点绛唇·送李琴泉
翠娥执手送临歧，轧轧开朱户。	采莲令·月华收
脱鞍暂入酒家垆，送君万里西击胡。	送李副使赴碛西官军
坐上别愁君未见，归来欲断无肠。	临江仙·送王缄
长因送人处，忆得别家时。	蓟北旅思 / 送远人
放眼暮江千顷，中有离愁万斛，无处落征鸿。	水调歌头·把酒对斜日
去年离别雁初归，今夜裁缝萤已飞。	闺怨 / 怨诗
空门寂寞汝思家，礼别云房下九华。	送童子下山
别离滋味浓于酒。著人瘦。此情不及墙东柳。春色年年如旧。	秋蕊香·帘幕疏疏风透
送君归去愁不尽，又惜空度凉风天。	送狄宗亨
孤花片叶，断送清秋节。	清平乐·孤花片叶
触帘风送景阳钟，鸳被绣花重。	虞美人·触帘风送景阳钟
自是浮生无可说。人间第一耽离别。	蝶恋花·满地霜华浓似雪
嗟万事难忘，惟是轻别。	浪淘沙慢·晓阴重
东风兮东风，为我吹行云使西来。	久别离
