山不在高，有仙则名。水不在深，有龙则灵。	陋室铭
小山重叠金明灭，鬓云欲度香腮雪。	菩萨蛮·小山重叠金明灭
一声画角谯门，丰庭新月黄昏，雪里山前水滨。	天净沙·冬
八月湖水平，涵虚混太清。	望洞庭湖赠张丞相 / 临洞庭
槲叶落山路，枳花明驿墙。	商山早行
黄师塔前江水东，春光懒困倚微风。	江畔独步寻花·其五
人间四月芳菲尽，山寺桃花始盛开。	大林寺桃花
况属高风晚，山山黄叶飞。	山中
正入万山圈子里，一山放过一山拦。	过松源晨炊漆公店
少无适俗韵，性本爱丘山。	归园田居·其一
敕勒川，阴山下。天似穹庐，笼盖四野。	敕勒歌
盈盈一水间，脉脉不得语。	迢迢牵牛星
二分尘土，一分流水。	水龙吟·次韵章质夫杨花词
躞蹀御沟上，沟水东西流。	白头吟
一重山，两重山。山远天高烟水寒，相思枫叶丹。	长相思·一重山
杨柳青青江水平，闻郎江上踏歌声。	竹枝词二首·其一
适与野情惬，千山高复低。	鲁山山行
此生谁料，心在天山，身老沧洲。	诉衷情·当年万里觅封侯
三山半落青天外，二水中分白鹭洲。	登金陵凤凰台
荷笠带斜阳，青山独归远。	送灵澈上人
青山飞起不压物，野水流来欲湿人。	琵琶行
又似贾客蜀道间，千铎万磬鸣空山。	琵琶行
引之于山，兽不能走。吹之于水，鱼不能游。	琵琶行
日暮苍山远，天寒白屋贫。	逢雪宿芙蓉山主人
明月出天山，苍茫云海间。	关山月
唯有门前镜湖水，春风不改旧时波。	回乡偶书二首
若非群玉山头见，会向瑶台月下逢。	清平调·其一
孤之有孔明，犹鱼之有水也。	隆中对
万岁山前珠翠绕，蓬壶殿里笙歌作。	满江红·登黄鹤楼有感
中岁颇好道，晚家南山陲。	终南别业 / 初至山中 / 入山寄城中故人
行到水穷处，坐看云起时。	终南别业 / 初至山中 / 入山寄城中故人
我家襄水曲，遥隔楚云端。	早寒江上有怀 / 早寒有怀 / 江上思归
过尽千帆皆不是，斜晖脉脉水悠悠。	望江南·梳洗罢
大漠沙如雪，燕山月似钩。	马诗二十三首·其五
冰，水为之，而寒于水。	劝学
故不登高山，不知天之高也；不临深溪，不知地之厚也；	劝学
积土成山，风雨兴焉；积水成渊，蛟龙生焉；	劝学
玉在山而草润，渊生珠而崖不枯。	劝学
白毛浮绿水，红掌拨清波。	咏鹅
但使龙城飞将在，不教胡马度阴山。	出塞二首
山中相送罢，日暮掩柴扉。	送别 / 山中送别 / 送友
不论平地与山尖，无限风光尽被占。	蜂
骊山四顾，阿房一炬，当时奢侈今何处？	山坡羊·骊山怀古
唯有长江水，无语东流。	八声甘州·对潇潇暮雨洒江天
山寺月中寻桂子，郡亭枕上看潮头。	忆江南三首
疏影横斜水清浅，暗香浮动月黄昏。	山园小梅·其一
欲寄彩笺兼尺素。山长水阔知何处。	蝶恋花·槛菊愁烟兰泣露
山际见来烟，竹中窥落日。	山中杂诗
曾经沧海难为水，除却巫山不是云。	离思五首·其四
旧山松竹老，阻归程。	小重山·昨夜寒蛩不住鸣
百啭千声随意移，山花红紫树高低。	画眉鸟
力拔山兮气盖世。时不利兮骓不逝。	垓下歌
春水碧于天，画船听雨眠。	菩萨蛮·人人尽说江南好
楼头客子杪秋后，日落君山元气中。	登岳阳楼二首
北极朝廷终不改，西山寇盗莫相侵。	登楼
山有木兮木有枝，心悦君兮君不知。	越人歌
梅子黄时日日晴，小溪泛尽却山行。	三衢道中
招魂楚些何嗟及，山鬼暗啼风雨。	摸鱼儿·雁丘词 / 迈陂塘
明日隔山岳，世事两茫茫。	赠卫八处士
试上超然台上看，半壕春水一城花。	望江南·超然台作
更吹羌笛关山月，无那金闺万里愁。	从军行七首
玉门山嶂几千重，山北山南总是烽。	从军行七首
山无陵，江水为竭。冬雷震震，夏雨雪。天地合，乃敢与君绝。	上邪
朝看水东流，暮看日西坠。	明日歌
晨昏滚滚水东流，今古悠悠日西坠。	明日歌
青山隐隐水迢迢，秋尽江南草未凋。	寄扬州韩绰判官
漠漠轻寒上小楼。晓阴无赖似穷秋。淡烟流水画屏幽。	浣溪沙·漠漠轻寒上小楼
最是繁丝摇落后，转教人忆春山。	临江仙·寒柳
庭前落尽梧桐，水边开彻芙蓉。	天净沙·秋
四十年来家国，三千里地山河。	破阵子·四十年来家国
不知近水花先发，疑是经冬雪未销。	早梅
江水漾西风，江花脱晚红。	江上
有耳莫洗颍川水，有口莫食首阳蕨。	行路难三首
谢公宿处今尚在，渌水荡漾清猿啼。	梦游天姥吟留别 / 别东鲁诸公
云青青兮欲雨，水澹澹兮生烟。	梦游天姥吟留别 / 别东鲁诸公
世间行乐亦如此，古来万事东流水。	梦游天姥吟留别 / 别东鲁诸公
别君去兮何时还？且放白鹿青崖间。须行即骑访名山。	梦游天姥吟留别 / 别东鲁诸公
河水萦带，群山纠纷。	吊古战场文
鸟无声兮山寂寂，夜正长兮风淅淅。	吊古战场文
寒雨连天夜入吴，平明送客楚山孤。	芙蓉楼送辛渐二首
情知已被山遮断，频倚阑干不自由。	鹧鸪天·代人赋
浮天水送无穷树，带雨云埋一半山。	鹧鸪天·送人
命如南山石，四体康且直！	孔雀东南飞 / 古诗为焦仲卿妻作
水急客舟疾，山花拂面香。	秋浦歌十七首
稻根科斗行如块，田水今年一尺宽。	夏日田园杂兴
只有天在上，更无山与齐。	咏华山
移舟水溅差差绿，倚槛风摆柄柄香。	莲叶
只在此山中，云深不知处。	寻隐者不遇 / 孙革访羊尊师诗
山高月小，水落石出。	后赤壁赋
划然长啸，草木震动，山鸣谷应，风起水涌。	后赤壁赋
雨落不上天，水覆难再收。	妾薄命
画栋朝飞南浦云，珠帘暮卷西山雨。	滕王阁诗
亭亭山上松，瑟瑟谷中风。	赠从弟
溪云初起日沉阁，山雨欲来风满楼。	咸阳城东楼 / 咸阳城西楼晚眺 / 西门
世事漫随流水，算来一梦浮生。	乌夜啼·昨夜风兼雨
君言不得意，归卧南山陲。	送别
隋堤上、曾见几番，拂水飘绵送行色。	兰陵王·柳
离多最是，东西流水，终解两相逢。	少年游·离多最是
连山变幽晦，绿水函晏温。	饮酒
鹅湖山下稻粱肥，豚栅鸡栖半掩扉。	社日
水远烟微。一点沧洲白鹭飞。	采桑子·何人解赏西湖好
山抹微云，天连衰草，画角声断谯门。	满庭芳·山抹微云
斜阳外，寒鸦万点，流水绕孤村。	满庭芳·山抹微云
吴丝蜀桐张高秋，空山凝云颓不流。	李凭箜篌引
昆山玉碎凤凰叫，芙蓉泣露香兰笑。	李凭箜篌引
闻道梅花坼晓风，雪堆遍满四山中。	梅花绝句·其一
逢郎欲语低头笑，碧玉搔头落水中。	采莲曲
叶上初阳干宿雨、水面清圆，一一风荷举。	苏幕遮·燎沉香
海阔山遥，未知何处是潇湘。	玉蝴蝶·望处雨收云断
远岫出山催薄暮，细风吹雨弄轻阴。	浣溪沙·小院闲窗春色深
初闻征雁已无蝉，百尺楼高水接天。	霜月
认得醉翁语，山色有无中。	水调歌头·黄州快哉亭赠张偓佺
若得山花插满头，莫问奴归处。	卜算子·不是爱风尘
低头弄莲子，莲子清如水。	西洲曲
海水梦悠悠，君愁我亦愁。	西洲曲
一往情深深几许？深山夕照深秋雨。	蝶恋花·出塞
莫买沃洲山，时人已知处。	送方外上人 / 送上人
淡荡春光寒食天。玉炉沈水袅残烟。梦回山枕隐花钿。	浣溪沙·淡荡春光寒食天
万壑树参天，千山响杜鹃。	送梓州李使君
请君试问东流水，别意与之谁短长。	金陵酒肆留别
穿花蛱蝶深深见，点水蜻蜓款款飞。	曲江二首
草满池塘水满陂，山衔落日浸寒漪。	村晚
半生已分孤眠过，山枕檀痕涴。	虞美人·曲阑深处重相见
舍南舍北皆春水，但见群鸥日日来。	客至
郴江幸自绕郴山，为谁流下潇湘去。	踏莎行·郴州旅舍
落木千山天远大，澄江一道月分明。	登快阁
无限河山泪，谁言天地宽！	别云间
兽炉沉水烟，翠沼残花片。	塞鸿秋·春情
关山万里不可越，谁能坐对芳菲月。	从军行
流水本自断人肠，坚冰旧来伤马骨。	从军行
长风萧萧渡水来，归雁连连映天没。	从军行
汴水流，泗水流，流到瓜州古渡头。吴山点点愁。	长相思·汴水流
男儿何不带吴钩，收取关山五十州。	南园十三首·其五
古人今人若流水，共看明月皆如此。	把酒问月·故人贾淳令予问之
匈奴草黄马正肥，金山西见烟尘飞，汉家大将西出师。	走马川行奉送出师西征 / 走马川行奉送封大夫出师西征
满目山河空念远，落花风雨更伤春。	浣溪沙·一向年光有限身
活水源流随处满，东风花柳逐时新。	观书
伯牙鼓琴，志在高山	伯牙绝弦
欸乃一声山水绿。回看天际下中流，岩上无心云相逐。	渔翁
平林漠漠烟如织，寒山一带伤心碧。	菩萨蛮·平林漠漠烟如织
烟水茫茫，千里斜阳暮。山无数。乱红如雨。不记来时路。	点绛唇·桃源
雪里温柔，水边明秀，不借春工力。	念奴娇·梅
斜阳独倚西楼。遥山恰对帘钩。	清平乐·红笺小字
山远近，路横斜，青旗沽酒有人家。	鹧鸪天·陌上柔桑破嫩芽
此身行作稽山土，犹吊遗踪一泫然。	沈园二首
斜阳流水推篷坐，翠色随人欲上船。	富春至严陵山水甚佳
红树青山日欲斜，长郊草色绿无涯。	丰乐亭游春·其三
五月天山雪，无花只有寒。	塞下曲六首·其一
白日登山望烽火，黄昏饮马傍交河。	古从军行
借问江潮与海水，何似君情与妾心？	浪淘沙·借问江潮与海水
山川萧条极边土，胡骑凭陵杂风雨。	燕歌行
